,時刻,K [ﾟC],WT [ﾟC],MG [ﾟC],SC [ﾟC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/09/27,15:20:55,-3.26,-3.37,-2.78,-3.56,0,0,0,0,0,0,0,0
2021/09/27,15:21:00,-3.24,-3.35,-2.77,-3.56,0,0,0,0,0,0,0,0
2021/09/27,15:21:05,-3.23,-3.35,-2.77,-3.56,0,0,0,0,0,0,0,0
2021/09/27,15:21:10,-3.24,-3.38,-2.78,-3.56,0,0,0,0,0,0,0,0
2021/09/27,15:21:15,-3.21,-3.34,-2.75,-3.55,0,0,0,0,0,0,0,0
2021/09/27,15:21:20,-3.2,-3.32,-2.74,-3.53,0,0,0,0,0,0,0,0
2021/09/27,15:21:25,-3.17,-3.28,-2.73,-3.52,0,0,0,0,0,0,0,0
2021/09/27,15:21:30,-3.17,-3.3,-2.71,-3.51,0,0,0,0,0,0,0,0
2021/09/27,15:21:35,-3.16,-3.24,-2.7,-3.51,0,0,0,0,0,0,0,0
2021/09/27,15:21:40,-3.13,-3.25,-2.68,-3.49,0,0,0,0,0,0,0,0
2021/09/27,15:21:45,-3.14,-3.27,-2.68,-3.48,0,0,0,0,0,0,0,0
2021/09/27,15:21:50,-3.13,-3.27,-2.67,-3.48,0,0,0,0,0,0,0,0
2021/09/27,15:21:55,-3.13,-3.27,-2.67,-3.48,0,0,0,0,0,0,0,0
2021/09/27,15:22:00,-3.12,-3.27,-2.67,-3.48,0,0,0,0,0,0,0,0
2021/09/27,15:22:05,-3.12,-3.27,-2.66,-3.46,0,0,0,0,0,0,0,0
2021/09/27,15:22:10,-3.12,-3.25,-2.66,-3.46,0,0,0,0,0,0,0,0
2021/09/27,15:22:15,-3.1,-3.25,-2.66,-3.46,0,0,0,0,0,0,0,0
2021/09/27,15:22:20,-3.1,-3.25,-2.64,-3.46,0,0,0,0,0,0,0,0
2021/09/27,15:22:25,-3.1,-3.24,-2.64,-3.45,0,0,0,0,0,0,0,0
2021/09/27,15:22:30,-3.09,-3.24,-2.64,-3.45,0,0,0,0,0,0,0,0
2021/09/27,15:22:35,-3.07,-3.23,-2.64,-3.45,0,0,0,0,0,0,0,0
2021/09/27,15:22:40,-3.07,-3.23,-2.63,-3.45,0,0,0,0,0,0,0,0
2021/09/27,15:22:45,-3.06,-3.23,-2.63,-3.44,0,0,0,0,0,0,0,0
