,時刻,K [ﾟC],WT [ﾟC],MG [ﾟC],SC [ﾟC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/09/27,12:24:25,8.14,14.82,15.45,14.61,0,0,0,0,0,0,0,0
2021/09/27,12:24:30,7.22,14.48,15.09,14.28,0,0,0,0,0,0,0,0
2021/09/27,12:24:35,7.19,14.1,14.74,13.93,0,0,0,0,0,0,0,0
2021/09/27,12:24:40,7.28,13.79,14.45,13.62,0,0,0,0,0,0,0,0
2021/09/27,12:24:45,7.5,13.51,14.16,13.36,0,0,0,0,0,0,0,0
2021/09/27,12:24:50,7.59,13.24,13.88,13.1,0,0,0,0,0,0,0,0
2021/09/27,12:24:55,7.66,13.02,13.61,12.87,0,0,0,0,0,0,0,0
2021/09/27,12:25:00,7.72,12.81,13.4,12.7,0,0,0,0,0,0,0,0
2021/09/27,12:25:05,7.8,12.58,13.2,12.45,0,0,0,0,0,0,0,0
2021/09/27,12:25:10,7.88,12.39,12.98,12.23,0,0,0,0,0,0,0,0
2021/09/27,12:25:15,7.9,12.19,12.78,12.07,0,0,0,0,0,0,0,0
2021/09/27,12:25:20,7.9,12.03,12.58,11.88,0,0,0,0,0,0,0,0
2021/09/27,12:25:25,7.9,11.82,12.39,11.73,0,0,0,0,0,0,0,0
2021/09/27,12:25:30,7.91,11.67,12.22,11.57,0,0,0,0,0,0,0,0
2021/09/27,12:25:35,7.96,11.52,12.07,11.48,0,0,0,0,0,0,0,0
2021/09/27,12:25:40,8.01,11.4,11.92,11.34,0,0,0,0,0,0,0,0
2021/09/27,12:25:45,8.06,11.27,11.78,11.23,0,0,0,0,0,0,0,0
2021/09/27,12:25:50,8.09,11.13,11.67,11.12,0,0,0,0,0,0,0,0
2021/09/27,12:25:55,8.13,11.02,11.53,11,0,0,0,0,0,0,0,0
2021/09/27,12:26:00,8.16,10.93,11.42,10.89,0,0,0,0,0,0,0,0
2021/09/27,12:26:05,8.19,10.82,11.31,10.79,0,0,0,0,0,0,0,0
2021/09/27,12:26:10,8.32,10.72,11.22,10.71,0,0,0,0,0,0,0,0
2021/09/27,12:26:15,7.91,10.62,11.11,10.6,0,0,0,0,0,0,0,0
2021/09/27,12:26:20,8.16,10.54,11.01,10.53,0,0,0,0,0,0,0,0
2021/09/27,12:26:25,8.31,10.45,10.91,10.42,0,0,0,0,0,0,0,0
2021/09/27,12:26:30,8.19,10.35,10.79,10.32,0,0,0,0,0,0,0,0
2021/09/27,12:26:35,8.2,10.24,10.69,10.21,0,0,0,0,0,0,0,0
2021/09/27,12:26:40,8.2,10.16,10.58,10.14,0,0,0,0,0,0,0,0
2021/09/27,12:26:45,8.21,10.09,10.49,10.05,0,0,0,0,0,0,0,0
2021/09/27,12:26:50,8.21,9.96,10.36,9.94,0,0,0,0,0,0,0,0
2021/09/27,12:26:55,8.19,9.85,10.25,9.81,0,0,0,0,0,0,0,0
2021/09/27,12:27:00,8.23,9.78,10.17,9.76,0,0,0,0,0,0,0,0
2021/09/27,12:27:05,8.24,9.73,10.11,9.69,0,0,0,0,0,0,0,0
2021/09/27,12:27:10,8.28,9.66,10.05,9.62,0,0,0,0,0,0,0,0
2021/09/27,12:27:15,8.3,9.61,9.98,9.58,0,0,0,0,0,0,0,0
2021/09/27,12:27:20,8.31,9.56,9.92,9.51,0,0,0,0,0,0,0,0
2021/09/27,12:27:25,8.32,9.49,9.87,9.44,0,0,0,0,0,0,0,0
2021/09/27,12:27:30,8.36,9.47,9.83,9.41,0,0,0,0,0,0,0,0
2021/09/27,12:27:35,8.41,9.43,9.78,9.37,0,0,0,0,0,0,0,0
