,éûçè,K [ﬂC],WT [ﬂC],MG [ﬂC],SC [ﬂC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/09/29,15:54:55,9.64,10.22,10.45,9.9,0,0,0,0,0,0,0,0
2021/09/29,15:55:00,9.74,10.22,10.44,9.88,0,0,0,0,0,0,0,0
2021/09/29,15:55:05,9.79,10.25,10.44,9.87,0,0,0,0,0,0,0,0
2021/09/29,15:55:10,9.88,10.26,10.51,9.92,0,0,0,0,0,0,0,0
2021/09/29,15:55:15,9.85,10.23,10.49,9.9,0,0,0,0,0,0,0,0
2021/09/29,15:55:20,9.91,10.34,10.42,9.97,0,0,0,0,0,0,0,0
2021/09/29,15:55:25,9.81,10.32,10.4,9.93,0,0,0,0,0,0,0,0
2021/09/29,15:55:30,9.77,10.32,10.49,9.94,0,0,0,0,0,0,0,0
2021/09/29,15:55:35,9.8,10.32,10.46,9.93,0,0,0,0,0,0,0,0
2021/09/29,15:55:40,9.77,10.34,10.51,9.91,0,0,0,0,0,0,0,0
2021/09/29,15:55:45,9.74,10.32,10.54,9.9,0,0,0,0,0,0,0,0
2021/09/29,15:55:50,9.67,10.25,10.51,9.9,0,0,0,0,0,0,0,0
2021/09/29,15:55:55,9.58,10.2,10.45,9.87,0,0,0,0,0,0,0,0
2021/09/29,15:56:00,9.56,10.18,10.45,9.86,0,0,0,0,0,0,0,0
2021/09/29,15:56:05,9.54,10.14,10.4,9.86,0,0,0,0,0,0,0,0
2021/09/29,15:56:10,9.65,10.14,10.39,9.83,0,0,0,0,0,0,0,0
2021/09/29,15:56:15,9.72,10.16,10.38,9.83,0,0,0,0,0,0,0,0
2021/09/29,15:56:20,9.78,10.17,10.35,9.86,0,0,0,0,0,0,0,0
2021/09/29,15:56:25,9.76,10.16,10.28,9.82,0,0,0,0,0,0,0,0
2021/09/29,15:56:30,9.72,10.14,10.27,9.82,0,0,0,0,0,0,0,0
2021/09/29,15:56:35,9.61,10.17,10.32,9.8,0,0,0,0,0,0,0,0
2021/09/29,15:56:40,9.63,10.21,10.43,9.78,0,0,0,0,0,0,0,0
2021/09/29,15:56:45,9.56,10.14,10.4,9.78,0,0,0,0,0,0,0,0
