,時刻,K [ﾟC],WT [ﾟC],MG [ﾟC],SC [ﾟC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/10/11,11:18:00,7.33,9.08,9.59,9.21,0,0,0,0,0,0,0,0
2021/10/11,11:18:05,7.36,9.01,9.51,9.11,0,0,0,0,0,0,0,0
2021/10/11,11:18:10,7.4,8.94,9.44,9.04,0,0,0,0,0,0,0,0
2021/10/11,11:18:15,7.44,8.89,9.37,8.97,0,0,0,0,0,0,0,0
2021/10/11,11:18:20,7.5,8.82,9.3,8.9,0,0,0,0,0,0,0,0
2021/10/11,11:18:25,7.52,8.75,9.23,8.83,0,0,0,0,0,0,0,0
2021/10/11,11:18:30,7.57,8.71,9.18,8.78,0,0,0,0,0,0,0,0
2021/10/11,11:18:35,7.59,8.67,9.12,8.72,0,0,0,0,0,0,0,0
2021/10/11,11:18:40,7.63,8.63,9.08,8.7,0,0,0,0,0,0,0,0
2021/10/11,11:18:45,7.68,8.57,9.03,8.64,0,0,0,0,0,0,0,0
2021/10/11,11:18:50,7.7,8.53,8.99,8.6,0,0,0,0,0,0,0,0
2021/10/11,11:18:55,7.76,8.52,8.94,8.56,0,0,0,0,0,0,0,0
2021/10/11,11:19:00,7.79,8.48,8.9,8.52,0,0,0,0,0,0,0,0
2021/10/11,11:19:05,7.79,8.45,8.88,8.49,0,0,0,0,0,0,0,0
2021/10/11,11:19:10,7.83,8.42,8.85,8.46,0,0,0,0,0,0,0,0
2021/10/11,11:19:15,7.86,8.39,8.82,8.43,0,0,0,0,0,0,0,0
2021/10/11,11:19:20,7.9,8.37,8.79,8.41,0,0,0,0,0,0,0,0
2021/10/11,11:19:25,7.9,8.35,8.77,8.38,0,0,0,0,0,0,0,0
2021/10/11,11:19:30,7.91,8.31,8.71,8.34,0,0,0,0,0,0,0,0
2021/10/11,11:19:35,7.92,8.3,8.71,8.32,0,0,0,0,0,0,0,0
2021/10/11,11:19:40,7.95,8.28,8.7,8.31,0,0,0,0,0,0,0,0
2021/10/11,11:19:45,7.98,8.28,8.67,8.3,0,0,0,0,0,0,0,0
2021/10/11,11:19:50,8.01,8.27,8.67,8.28,0,0,0,0,0,0,0,0
2021/10/11,11:19:55,8.03,8.26,8.65,8.27,0,0,0,0,0,0,0,0
2021/10/11,11:20:00,8.06,8.26,8.64,8.27,0,0,0,0,0,0,0,0
2021/10/11,11:20:05,8.1,8.26,8.64,8.27,0,0,0,0,0,0,0,0
2021/10/11,11:20:10,8.13,8.26,8.64,8.27,0,0,0,0,0,0,0,0
2021/10/11,11:20:15,8.13,8.21,8.6,8.23,0,0,0,0,0,0,0,0
2021/10/11,11:20:20,8.14,8.23,8.61,8.24,0,0,0,0,0,0,0,0
2021/10/11,11:20:25,8.2,8.24,8.61,8.26,0,0,0,0,0,0,0,0
2021/10/11,11:20:30,8.26,8.26,8.64,8.28,0,0,0,0,0,0,0,0
2021/10/11,11:20:35,8.38,8.38,8.76,8.4,0,0,0,0,0,0,0,0
2021/10/11,11:20:40,8.42,8.41,8.78,8.41,0,0,0,0,0,0,0,0
2021/10/11,11:20:45,8.45,8.41,8.78,8.42,0,0,0,0,0,0,0,0
2021/10/11,11:20:50,8.44,8.4,8.77,8.41,0,0,0,0,0,0,0,0
2021/10/11,11:20:55,8.45,8.4,8.76,8.4,0,0,0,0,0,0,0,0
2021/10/11,11:21:00,8.48,8.38,8.76,8.4,0,0,0,0,0,0,0,0
2021/10/11,11:21:05,8.49,8.4,8.76,8.4,0,0,0,0,0,0,0,0
2021/10/11,11:21:10,8.51,8.4,8.76,8.4,0,0,0,0,0,0,0,0
