,時刻,K [ﾟC],WT [ﾟC],MG [ﾟC],SC [ﾟC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/10/13,16:07:45,18.9,19.94,19.84,19.69,0,0,0,0,0,0,0,0
2021/10/13,16:07:50,19.06,19.99,19.9,19.73,0,0,0,0,0,0,0,0
2021/10/13,16:07:55,2.09,19.92,19.84,19.79,0,0,0,0,0,0,0,0
2021/10/13,16:08:00,-5.28,19.91,19.81,19.73,0,0,0,0,0,0,0,0
2021/10/13,16:08:05,-7.86,19.9,19.77,19.69,0,0,0,0,0,0,0,0
2021/10/13,16:08:10,-9.8,19.81,19.65,19.65,0,0,0,0,0,0,0,0
2021/10/13,16:08:15,-11.1,19.58,19.44,19.61,0,0,0,0,0,0,0,0
2021/10/13,16:08:20,-12.05,19.35,19.17,19.55,0,0,0,0,0,0,0,0
2021/10/13,16:08:25,-12.75,19.1,18.9,19.46,0,0,0,0,0,0,0,0
2021/10/13,16:08:30,-13.46,18.85,18.62,19.35,0,0,0,0,0,0,0,0
2021/10/13,16:08:35,-13.95,18.58,18.32,19.21,0,0,0,0,0,0,0,0
2021/10/13,16:08:40,-14.28,18.32,18.05,19.06,0,0,0,0,0,0,0,0
2021/10/13,16:08:45,-14.09,18.07,17.76,18.88,0,0,0,0,0,0,0,0
2021/10/13,16:08:50,-14.31,17.8,17.48,18.68,0,0,0,0,0,0,0,0
2021/10/13,16:08:55,-14.39,17.55,17.18,18.46,0,0,0,0,0,0,0,0
2021/10/13,16:09:00,-14.66,17.28,16.91,18.25,0,0,0,0,0,0,0,0
2021/10/13,16:09:05,-14.83,16.99,16.61,18,0,0,0,0,0,0,0,0
2021/10/13,16:09:10,-14.91,16.72,16.33,17.74,0,0,0,0,0,0,0,0
2021/10/13,16:09:15,-15,16.44,16.03,17.51,0,0,0,0,0,0,0,0
2021/10/13,16:09:20,-15.21,16.18,15.75,17.26,0,0,0,0,0,0,0,0
2021/10/13,16:09:25,-15.23,15.89,15.47,16.99,0,0,0,0,0,0,0,0
2021/10/13,16:09:30,-15.41,15.64,15.19,16.74,0,0,0,0,0,0,0,0
2021/10/13,16:09:35,-15.46,15.36,14.9,16.5,0,0,0,0,0,0,0,0
2021/10/13,16:09:40,-15.6,15.08,14.63,16.22,0,0,0,0,0,0,0,0
2021/10/13,16:09:45,-15.75,14.81,14.34,15.97,0,0,0,0,0,0,0,0
2021/10/13,16:09:50,-15.89,14.53,14.05,15.71,0,0,0,0,0,0,0,0
2021/10/13,16:09:55,-15.85,14.27,13.78,15.44,0,0,0,0,0,0,0,0
2021/10/13,16:10:00,-16.02,14,13.5,15.18,0,0,0,0,0,0,0,0
2021/10/13,16:10:05,-16.21,13.63,13.11,14.8,0,0,0,0,0,0,0,0
2021/10/13,16:10:10,-16.26,13.36,12.84,14.55,0,0,0,0,0,0,0,0
2021/10/13,16:10:15,-16.35,13.07,12.55,14.28,0,0,0,0,0,0,0,0
2021/10/13,16:10:20,-16.51,12.82,12.27,14.02,0,0,0,0,0,0,0,0
2021/10/13,16:10:25,-16.62,12.55,11.98,13.76,0,0,0,0,0,0,0,0
2021/10/13,16:10:30,-16.68,12.29,11.72,13.5,0,0,0,0,0,0,0,0
2021/10/13,16:10:35,-16.85,12.01,11.42,13.25,0,0,0,0,0,0,0,0
2021/10/13,16:10:40,-17.04,11.74,11.16,12.97,0,0,0,0,0,0,0,0
2021/10/13,16:10:45,-17.16,11.47,10.87,12.7,0,0,0,0,0,0,0,0
2021/10/13,16:10:50,-17.27,11.21,10.61,12.47,0,0,0,0,0,0,0,0
2021/10/13,16:10:55,-17.5,10.95,10.33,12.2,0,0,0,0,0,0,0,0
2021/10/13,16:11:00,-17.62,10.68,10.03,11.93,0,0,0,0,0,0,0,0
2021/10/13,16:11:05,-17.63,10.41,9.67,11.7,0,0,0,0,0,0,0,0
2021/10/13,16:11:10,-17.75,10.15,9.2,11.42,0,0,0,0,0,0,0,0
2021/10/13,16:11:15,-18.04,9.89,8.58,11.17,0,0,0,0,0,0,0,0
2021/10/13,16:11:20,-18.26,9.63,7.8,10.92,0,0,0,0,0,0,0,0
2021/10/13,16:11:25,-18.33,9.37,6.95,10.66,0,0,0,0,0,0,0,0
2021/10/13,16:11:30,-18.18,9.11,6.11,10.41,0,0,0,0,0,0,0,0
2021/10/13,16:11:35,-18.37,8.86,5.37,10.15,0,0,0,0,0,0,0,0
2021/10/13,16:11:40,-18.76,8.61,4.75,9.92,0,0,0,0,0,0,0,0
2021/10/13,16:11:45,-18.79,8.38,4.23,9.66,0,0,0,0,0,0,0,0
2021/10/13,16:11:50,-18.98,8.14,3.83,9.42,0,0,0,0,0,0,0,0
2021/10/13,16:11:55,-19.18,7.92,3.5,9.17,0,0,0,0,0,0,0,0
2021/10/13,16:12:00,-19.2,7.61,3.22,8.94,0,0,0,0,0,0,0,0
2021/10/13,16:12:05,-19.35,7.41,3.02,8.68,0,0,0,0,0,0,0,0
2021/10/13,16:12:10,-19.58,7.2,2.85,8.44,0,0,0,0,0,0,0,0
2021/10/13,16:12:15,-19.78,6.99,2.58,8.1,0,0,0,0,0,0,0,0
2021/10/13,16:12:20,-19.79,6.77,2.32,7.86,0,0,0,0,0,0,0,0
2021/10/13,16:12:25,-20.06,6.55,1.91,7.63,0,0,0,0,0,0,0,0
2021/10/13,16:12:30,-20.06,6.29,1.42,7.38,0,0,0,0,0,0,0,0
2021/10/13,16:12:35,-20.26,6.01,0.98,7.13,0,0,0,0,0,0,0,0
2021/10/13,16:12:40,-20.2,5.71,0.62,6.89,0,0,0,0,0,0,0,0
2021/10/13,16:12:45,-20.4,5.38,0.33,6.67,0,0,0,0,0,0,0,0
2021/10/13,16:12:50,-20.55,5.04,0.06,6.44,0,0,0,0,0,0,0,0
2021/10/13,16:12:55,-20.62,4.69,-0.18,6.19,0,0,0,0,0,0,0,0
2021/10/13,16:13:00,-20.9,4.34,-0.43,5.96,0,0,0,0,0,0,0,0
2021/10/13,16:13:05,-21.09,4.02,-0.66,5.74,0,0,0,0,0,0,0,0
2021/10/13,16:13:10,-21.22,3.73,-0.88,5.51,0,0,0,0,0,0,0,0
2021/10/13,16:13:15,-21.45,3.46,-1.11,5.28,0,0,0,0,0,0,0,0
2021/10/13,16:13:20,-21.51,3.21,-1.35,5.07,0,0,0,0,0,0,0,0
2021/10/13,16:13:25,-21.7,2.99,-1.58,4.84,0,0,0,0,0,0,0,0
2021/10/13,16:13:30,-21.69,2.7,-1.81,4.62,0,0,0,0,0,0,0,0
2021/10/13,16:13:35,-21.86,2.54,-2.16,4.28,0,0,0,0,0,0,0,0
2021/10/13,16:13:40,-22.14,2.43,-2.39,4.07,0,0,0,0,0,0,0,0
