,éûçè,K [ﬂC],MG10^2 [ﬂC],MG10^3 [ﬂC],MG10^4 [ﬂC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/10/20,12:31:00,1.85,17.76,18.35,17.44,0,0,0,0,0,0,0,0
2021/10/20,12:31:05,2.7,17.36,18.25,16.94,0,0,0,0,0,0,0,0
2021/10/20,12:31:10,2.63,16.67,17.84,16.11,0,0,0,0,0,0,0,0
2021/10/20,12:31:15,2.81,15.74,17.05,15.15,0,0,0,0,0,0,0,0
2021/10/20,12:31:20,2.82,14.86,16.25,14.26,0,0,0,0,0,0,0,0
2021/10/20,12:31:25,3.5,14.49,15.45,13.54,0,0,0,0,0,0,0,0
2021/10/20,12:31:30,3.01,13.04,14.85,12.91,0,0,0,0,0,0,0,0
2021/10/20,12:31:35,3.12,12.76,14.12,12.31,0,0,0,0,0,0,0,0
2021/10/20,12:31:40,3.25,12.21,13.54,11.78,0,0,0,0,0,0,0,0
2021/10/20,12:31:45,3.9,11.69,13.1,11.36,0,0,0,0,0,0,0,0
2021/10/20,12:31:50,3.41,11.14,12.24,10.87,0,0,0,0,0,0,0,0
2021/10/20,12:31:55,4.01,10.85,12.18,10.45,0,0,0,0,0,0,0,0
2021/10/20,12:32:00,3.12,10.3,11.27,10.1,0,0,0,0,0,0,0,0
2021/10/20,12:32:05,3.64,8.99,11.26,9.65,0,0,0,0,0,0,0,0
2021/10/20,12:32:10,3.98,9.79,11.08,9.44,0,0,0,0,0,0,0,0
2021/10/20,12:32:15,3.58,10.55,10.39,9.19,0,0,0,0,0,0,0,0
2021/10/20,12:32:20,3.19,8.97,9.86,8.85,0,0,0,0,0,0,0,0
2021/10/20,12:32:25,3.69,7.7,9.89,8.47,0,0,0,0,0,0,0,0
2021/10/20,12:32:30,3.75,9.81,9.56,8.43,0,0,0,0,0,0,0,0
2021/10/20,12:32:35,3.79,7.15,9.41,8.07,0,0,0,0,0,0,0,0
2021/10/20,12:32:40,3.4,8.1,8.93,8.02,0,0,0,0,0,0,0,0
2021/10/20,12:32:45,4.23,8.07,9.16,7.81,0,0,0,0,0,0,0,0
2021/10/20,12:32:50,3.42,7.78,8.53,7.67,0,0,0,0,0,0,0,0
2021/10/20,12:32:55,3.87,7.95,8.69,7.52,0,0,0,0,0,0,0,0
2021/10/20,12:33:00,3.82,6.47,8.45,7.33,0,0,0,0,0,0,0,0
2021/10/20,12:33:05,3.84,7.62,8.18,7.33,0,0,0,0,0,0,0,0
2021/10/20,12:33:10,4.27,7.34,8.14,7.07,0,0,0,0,0,0,0,0
2021/10/20,12:33:15,3.49,7.07,7.69,7.01,0,0,0,0,0,0,0,0
2021/10/20,12:33:20,4.35,7.09,8.02,6.87,0,0,0,0,0,0,0,0
2021/10/20,12:33:25,3.84,6.83,7.56,6.78,0,0,0,0,0,0,0,0
2021/10/20,12:33:30,4.03,7.96,7.52,6.76,0,0,0,0,0,0,0,0
2021/10/20,12:33:35,4.21,6.51,7.48,6.49,0,0,0,0,0,0,0,0
2021/10/20,12:33:40,3.69,6.54,7.14,6.5,0,0,0,0,0,0,0,0
2021/10/20,12:33:45,4.5,6.61,7.48,6.39,0,0,0,0,0,0,0,0
2021/10/20,12:33:50,3.88,6.38,7,6.32,0,0,0,0,0,0,0,0
2021/10/20,12:33:55,4.16,7.56,7.02,6.35,0,0,0,0,0,0,0,0
2021/10/20,12:34:00,4.35,6.16,7.01,6.07,0,0,0,0,0,0,0,0
2021/10/20,12:34:05,4.06,6.18,6.85,6.16,0,0,0,0,0,0,0,0
2021/10/20,12:34:10,4.63,6.24,7.01,5.99,0,0,0,0,0,0,0,0
2021/10/20,12:34:15,3.85,6.03,6.54,5.96,0,0,0,0,0,0,0,0
2021/10/20,12:34:20,4.25,7.19,6.62,5.99,0,0,0,0,0,0,0,0
2021/10/20,12:34:25,4.47,5.84,6.64,5.75,0,0,0,0,0,0,0,0
2021/10/20,12:34:30,3.87,5.81,6.31,5.8,0,0,0,0,0,0,0,0
2021/10/20,12:34:35,4.65,5.92,6.71,5.71,0,0,0,0,0,0,0,0
2021/10/20,12:34:40,4.29,5.48,6.45,5.67,0,0,0,0,0,0,0,0
2021/10/20,12:34:45,4.32,5.91,6.33,5.7,0,0,0,0,0,0,0,0
2021/10/20,12:34:50,4.79,5.8,6.49,5.56,0,0,0,0,0,0,0,0
2021/10/20,12:34:55,4,5.6,6.04,5.55,0,0,0,0,0,0,0,0
2021/10/20,12:35:00,4.45,6.27,6.31,5.51,0,0,0,0,0,0,0,0
